,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
1317,0.511,33.315,443335,second-order administrative division,ADM2,Jinja
1318,0.13805,32.21826,7910136,second-order administrative division,ADM2,Jinja
1319,,,226074,independent political entity,PCLI,Jinja
1320,0.06444,32.44694,233508,populated place,PPL,"Kampala, Jinja, Mbarara, Mbale, Entebbe and Masaka"
1321,0.31628,32.58219,232422,capital of a political entity,PPLC,"Kampala, Jinja, Mbarara, Mbale, Entebbe and Masaka"
1322,-0.60467,30.64851,229268,seat of a first-order administrative division,PPLA,"Kampala, Jinja, Mbarara, Mbale, Entebbe and Masaka"
1323,0.43902,33.20317,233114,seat of a first-order administrative division,PPLA,"Kampala, Jinja, Mbarara, Mbale, Entebbe and Masaka"
1324,1.08209,34.17503,229278,seat of a second-order administrative division,PPLA2,"Kampala, Jinja, Mbarara, Mbale, Entebbe and Masaka"
1325,-0.33379,31.73409,229380,seat of a second-order administrative division,PPLA2,"Kampala, Jinja, Mbarara, Mbale, Entebbe and Masaka"
1326,0.31628,32.58219,232422,capital of a political entity,PPLC,Makerere University and Mbarara University of Science and Technology
1327,-0.60467,30.64851,229268,seat of a first-order administrative division,PPLA,Makerere University and Mbarara University of Science and Technology
1328,-0.5,30.6,443355,second-order administrative division,ADM2,Makerere University and Mbarara University of Science and Technology
1329,0.33791,32.57702,8260559,university,UNIV,Makerere University and Mbarara University of Science and Technology
1330,,,226074,independent political entity,PCLI,Makerere University and Mbarara University of Science and Technology
1331,2.7373,31.88644,8260674,first-order administrative division,ADM1,Northern Uganda
1332,,,226074,independent political entity,PCLI,Northern Uganda
1333,,,226074,independent political entity,PCLI,
1334,0.06444,32.44694,233508,populated place,PPL,"Entebbe, Uganda"
1335,0.31628,32.58219,232422,capital of a political entity,PPLC,
1336,,,226074,independent political entity,PCLI,
1337,,,226074,independent political entity,PCLI,
1338,,,3355338,independent political entity,PCLI,Swakopmund
1339,,,927384,independent political entity,PCLI,
1340,,,2464461,independent political entity,PCLI,
1341,,,2464461,independent political entity,PCLI,
1342,,,338010,independent political entity,PCLI,
1343,,,934292,independent political entity,PCLI,
1344,,,3355338,independent political entity,PCLI,
1345,0.31628,32.58219,232422,capital of a political entity,PPLC,
1346,,,226074,independent political entity,PCLI,
1347,2.7373,31.88644,8260674,first-order administrative division,ADM1,northern and eastern Uganda
1348,0.96675,33.82622,8260673,first-order administrative division,ADM1,northern and eastern Uganda
1349,,,226074,independent political entity,PCLI,northern and eastern Uganda
1350,,,226074,independent political entity,PCLI,
1351,,,226074,independent political entity,PCLI,
1352,-0.329,35.944,7646401,populated place,PPL,Egerton University Chinese Teaching Centre
1353,,,2400553,independent political entity,PCLI,
1354,4.68333,12.36667,2225457,populated place,PPL,
1355,9.9333,13.94671,2230876,populated place,PPL,
1356,,,2233387,independent political entity,PCLI,
1357,0.31628,32.58219,232422,capital of a political entity,PPLC,"Plot 9-11, Sir Apollo Kaggwa Road, Kampala"
1358,0.31628,32.58219,232422,capital of a political entity,PPLC,Mulago hospital
1359,0.35,32.58333,228828,section of populated place,PPLX,Mulago hospital
1360,-3.4264,29.9308,426272,seat of a first-order administrative division,PPLA,Gitega
1361,,,226074,independent political entity,PCLI,"Connecting Kampala, Jinja, Mukono, Entebbe, Bombo, Luwero, Nakasongola, Masindi, Gulu, Lira, Soroti, Kumi, Mbale, Tororo, Busia, Hoima, Kyenjojo, Fort Portal, Kasese, Bushenyi, Mbarara, Masaka, Mbarara and Katuna"
1362,-3.125,30.13333,428218,first-order administrative division,ADM1,"Karusi Province, Bujumbura Town Hall"
1363,-3.4627,29.46259,7303940,first-order administrative division,ADM1,"Karusi Province, Bujumbura Town Hall"
1364,-3.0391,30.0861,428136,populated place,PPL,"Karusi Province, Bujumbura Town Hall"
1365,-3.3822,29.3644,425378,capital of a political entity,PPLC,"Karusi Province, Bujumbura Town Hall"
1366,-3.26447,30.14118,7670611,second-order administrative division,ADM2,"Karusi Province, Bujumbura Town Hall"
1367,-3.35826,29.3929,7670927,second-order administrative division,ADM2,"Karusi Province, Bujumbura Town Hall"
1368,-3.11667,29.4,428514,first-order administrative division,ADM1,Bubangza Province
1369,-3.1703,29.4026,428632,populated place,PPL,Bubangza Province
1370,,,433561,independent political entity,PCLI,
1371,,,433561,independent political entity,PCLI,
1372,,,226074,independent political entity,PCLI,
1373,0.39241,9.45356,2399697,capital of a political entity,PPLC,
1374,,,226074,independent political entity,PCLI,
